per,tau1,2.5th%,97.5th%,tau2,2.5th%,97.5th%,phi1,2.5th%,97.5th%,phi2,2.5th%,97.5th%
5,4.63E-01,3.10E-01,6.16E-01,3.16E-01,2.18E-01,4.13E-01,5.38E-01,4.80E-01,5.96E-01,6.07E-01,5.84E-01,6.30E-01
5.5,4.62E-01,3.07E-01,6.18E-01,3.19E-01,2.20E-01,4.18E-01,5.51E-01,4.86E-01,6.17E-01,6.11E-01,5.87E-01,6.34E-01
6,4.40E-01,2.89E-01,5.91E-01,3.28E-01,2.26E-01,4.29E-01,5.24E-01,4.57E-01,5.90E-01,6.09E-01,5.85E-01,6.33E-01
6.5,4.44E-01,2.89E-01,5.99E-01,3.34E-01,2.29E-01,4.39E-01,4.55E-01,3.90E-01,5.19E-01,6.06E-01,5.82E-01,6.30E-01
7,3.98E-01,2.51E-01,5.44E-01,3.63E-01,2.50E-01,4.76E-01,4.28E-01,3.63E-01,4.93E-01,6.13E-01,5.88E-01,6.38E-01
7.5,4.18E-01,2.65E-01,5.70E-01,3.58E-01,2.46E-01,4.71E-01,4.28E-01,3.58E-01,4.97E-01,6.09E-01,5.84E-01,6.33E-01
8,4.29E-01,2.67E-01,5.91E-01,4.15E-01,2.89E-01,5.41E-01,4.48E-01,3.75E-01,5.21E-01,6.12E-01,5.87E-01,6.37E-01
8.5,4.12E-01,2.52E-01,5.72E-01,4.02E-01,2.71E-01,5.33E-01,3.65E-01,2.92E-01,4.37E-01,6.00E-01,5.75E-01,6.26E-01
9,4.11E-01,2.49E-01,5.74E-01,4.12E-01,2.77E-01,5.47E-01,3.74E-01,2.95E-01,4.54E-01,5.95E-01,5.70E-01,6.20E-01
9.5,4.10E-01,2.48E-01,5.72E-01,4.22E-01,2.85E-01,5.59E-01,3.86E-01,3.04E-01,4.67E-01,5.97E-01,5.72E-01,6.22E-01
10,4.09E-01,2.45E-01,5.74E-01,4.25E-01,2.87E-01,5.63E-01,4.12E-01,3.24E-01,5.01E-01,5.97E-01,5.72E-01,6.22E-01
